Top NMF topics;
;
T0 law;9
T1 personal;823
T2 politics;15
T3 Easter Rising;61
T4 WWI;60
T5 Irish;29
T6 home;282
T7 British administration;627
T8 French letters;15
T9 imprisonment;35
T10 economy;5
T11 people & places;91
T12 schedules;207
T13 education;10
T14 Irish question;284
T15 medicine;243
T16 peace keeping;45
T17 news & plans;208
