Source_ID,Target_ID,Edge type,Weight,Source_Name,Target_Name,Date,Total no. sender:,Total no. recipient:,ID Letters 1916,Item type,Contributor,
per_115,per_094,directed,1,H. Malone,Susan Daly,30 October 1922,1,23,7.json377 , Letter ,Kerry Library Tralee,
per_031,per_013,directed,1,H. McGrath,Charlie / Cormac Daly,21 February 1923,2,90,6262,Letter ,Kerry Library Tralee,
per_031,per_013,directed,1,H. McGrath,Charlie / Cormac Daly,4 February 1923,2,90,6261,Letter ,Kerry Library Tralee,
per_032,per_018,directed,1,Henry Kennedy,Cornelius Daly,29 November 1921,1,14,6445, Letter ,Kerry Library Tralee,
per_033,per_028,directed,1,Hugh McLean,Ellen Daly,29 March 1923,1,80,5093, Letter ,Kerry Library Tralee,
per_034,per_018,directed,1,James J. Donaghy,Cornelius Daly,15 March 1923,1,14,6451,Letter,Kerry Library Tralee,
per_110,per_013,directed,1,Jamie,Charlie / Cormac Daly,9 February 1923,1,90,5043, Letter ,Kerry Library Tralee,
per_035,per_028,directed,1,Jennie Gallivan,Ellen Daly,19 March 1923,1,80,5091,Letter ,Kerry Library Tralee,
per_036,per_094,directed,1,Jer Hannifin,Susan Daly,30 September 1923,1,23,6428,Letter ,Kerry Library Tralee,
per_037,per_057,directed,1,Joe,Mary / May / Máire Daly,19 August 1923,1,36,5125,Letter,Kerry Library Tralee,
per_038,per_057,directed,1,John Gallagher,Mary / May / Máire Daly,7 May 1923,1,36,7.json320 , Letter ,Kerry Library Tralee,
per_040,per_013,directed,1,Judy Daly,Charlie / Cormac Daly,10 January 1923,1,90,6279,Letter ,Kerry Library Tralee,
