Source_ID,Target_ID,Edge type,Weight,Source_Name,Target_Name,Date,Total no. sender:,Total no. recipient:,ID Letters 1916,Item type,Contributor,
per_099,per_057,directed,1,Thomas Daly,Mary / May / Máire Daly,28 August 1923,20,36,5391,Letter,Kerry Library Tralee,
per_099,per_067,directed,1,Thomas Daly,Mrs Browne,28 November 1923,20,1,5053,Letter,Kerry Library Tralee,
per_099,per_057,directed,1,Thomas Daly,Mary / May / Máire Daly,30 July 1923,20,36,5390,Letter,Kerry Library Tralee,
per_099,per_057,directed,1,Thomas Daly,Mary / May / Máire Daly,5 December 1923,20,36,5398,Letter,Kerry Library Tralee,
per_099,per_057,directed,1,Thomas Daly,Mary / May / Máire Daly,8 November 1923,20,36,5397, Letter ,Kerry Library Tralee,
per_099,per_028,directed,1,Thomas Daly,Ellen Daly,9 December 1923,20,80,6638, Letter ,Kerry Library Tralee,
per_099,per_028,directed,1,Thomas Daly,Ellen Daly,9 July 1923,20,80,6441,Letter,Kerry Library Tralee,
per_100,per_018,directed,1,Thomas Donoghue,Cornelius Daly,18 March 1923,1,14,6455,Letter,Kerry Library Tralee,
per_102,per_028,directed,1,UA Cuinneagain,Ellen Daly,10 August 1923,1,80,5354,Letter,Kerry Library Tralee,
per_103,per_013,directed,1,W. D. Sheehan,Charlie / Cormac Daly,undated,1,90,6178,Letter,Kerry Library Tralee,
per_104,per_097,directed,1,W. G. Kelly Senior,the Daly Family,15 March 1923,1,1,5086,Telegraph,Kerry Library Tralee,
per_047,per_028,directed,1,William / Willie / Liam Daly,Ellen Daly,12 March 1923,9,80,6435,Letter,Kerry Library Tralee,
per_047,per_094,directed,1,William / Willie / Liam Daly,Susan Daly,21 April 1923,9,23,6439,Letter,Kerry Library Tralee,
per_047,per_013,directed,1,William / Willie / Liam Daly,Charlie / Cormac Daly,21 February 1923,9,90,6431,Letter,Kerry Library Tralee,
per_047,per_094,directed,1,William / Willie / Liam Daly,Susan Daly,26 January 1923,9,23,5185,Letter,Kerry Library Tralee,
per_047,per_057,directed,1,William / Willie / Liam Daly,Mary / May / Máire Daly,5 March 1923,9,36,6432,Letter,Kerry Library Tralee,
per_047,per_057,directed,1,William / Willie / Liam Daly,Mary / May / Máire Daly,7 January 1923,9,36,6430,Letter,Kerry Library Tralee,
per_047,per_105,directed,1,William / Willie / Liam Daly,unknown,7 March 1923,9,10,6433,Letter,Kerry Library Tralee,
per_047,per_028,directed,1,William / Willie / Liam Daly,Charlie / Cormac Daly,8 March 1923,9,90,6434,Letter,Kerry Library Tralee,
per_047,per_099,directed,1,William / Willie / Liam Daly,Susan Daly,Sunday 21st 1923,9,23,5382,Letter,Kerry Library Tralee
